Season,TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM
2017,"USC Upstate",70.4911,115,68.3956,166,106.119,117,104.208,176,109.35,300,111.095,301,-6.88772,244
2017,"UT Arlington",71.2621,83,70.6353,59,108.485,74,110.605,68,99.2112,63,100.8,93,9.80481,75
2017,"UT Rio Grande Valley",75.9431,6,73.9399,8,99.0596,261,100.923,242,109.236,297,112.945,318,-12.0222,300
2017,Utah,69.7057,165,68.6638,142,110.688,42,113.498,40,99.2119,64,99.301,72,14.1973,47
2017,"Utah St.",68.7137,222,66.5999,257,103.908,167,106.872,129,103.93,183,104.455,170,2.41683,130
2017,"Utah Valley",75.2579,10,72.9757,13,99.0461,263,100.981,240,97.5139,42,99.7306,75,1.25004,147
2017,UTEP,67.659,264,66.2675,265,99.9639,245,99.7439,264,100.583,96,102.679,128,-2.9349,200
2017,UTSA,69.0823,202,68.0631,186,94.1633,329,95.4244,323,100.233,86,102.674,127,-7.24977,251
2017,Valparaiso,69.616,168,67.1796,220,105.734,125,106.316,139,97.9123,45,100.498,88,5.81749,104
2017,Vanderbilt,67.1435,283,65.8121,285,105.785,124,112.426,48,100.959,111,95.8983,38,16.5272,33
2017,VCU,68.9787,208,68.7698,134,106.77,101,110.097,72,95.6341,23,96.0285,41,14.0685,48
2017,Vermont,65.2919,323,64.4609,315,112.533,23,111.068,62,97.0051,38,99.3944,73,11.6734,63
2017,Villanova,65.5396,321,64.0537,324,117.674,4,122.419,3,95.9647,24,92.5361,12,29.8834,2
2017,Virginia,60.2515,351,59.1571,351,108.035,84,112.247,50,92.1125,4,87.9553,2,24.292,12
2017,"Virginia Tech",69.7602,161,68.3797,167,112.59,22,117.31,21,106.937,247,103.513,156,13.7975,50
2017,VMI,69.9737,148,69.0852,112,97.2221,298,97.5528,297,114.983,341,113.818,323,-16.2654,328
2017,Wagner,64.8006,332,62.9145,340,102.711,179,101.015,239,101.246,117,108.014,239,-6.99908,247
2017,"Wake Forest",71.7061,66,70.6791,57,115.469,12,120.928,7,109.726,305,104.681,176,16.2464,36
2017,Washington,72.7984,39,71.0632,51,104.442,155,107.749,111,111.126,325,107.413,224,0.336302,163
2017,"Washington St.",69.2563,187,67.6846,204,100.446,236,104.374,171,110.285,319,106.099,202,-1.72505,193
2017,"Weber St.",68.919,213,66.9881,238,110.675,43,108.458,100,106.654,239,109.001,256,-0.542432,179
2017,"West Virginia",71.4009,80,69.949,84,111.906,30,116.526,26,92.3219,5,89.3588,4,27.1673,7
2017,"Western Carolina",68.9558,210,66.8405,244,86.5294,351,90.0177,348,107.539,257,105.126,183,-15.1082,322
2017,"Western Illinois",70.6065,110,68.8233,130,97.2351,297,97.1404,300,109.077,293,108.895,253,-11.7549,297
2017,"Western Kentucky",67.4516,270,65.8422,282,102.491,187,102.992,199,106.88,245,109.146,259,-6.15419,232
2017,"Western Michigan",70.1116,135,67.8617,199,106.811,100,107.132,124,106.834,243,106.771,213,0.360618,162
2017,"Wichita St.",69.2661,186,67.9995,191,116.593,7,118.698,13,90.5399,2,92.554,13,26.1436,8
2017,"William & Mary",71.4706,75,70.9423,53,111.223,38,111.94,52,110.038,312,109.657,272,2.28248,133
2017,Winthrop,71.2349,86,71.1379,47,108.243,77,106.117,144,97.3156,40,101.591,103,4.52661,113
2017,Wisconsin,64.4294,339,63.3981,334,110.868,41,115.068,33,95.5393,22,92.0805,9,22.9876,21
2017,Wofford,67.8813,254,66.7193,252,108.469,75,109.921,75,108.453,278,108.383,246,1.53764,142
2017,"Wright St.",71.3732,81,69.0002,116,105.352,136,106.509,136,103.362,166,106.174,205,0.335239,164
2017,Wyoming,74.0532,21,72.9176,14,103.912,166,104.773,163,100.676,100,101.991,111,2.78216,127
2017,Xavier,68.1924,245,67.1604,223,109.137,60,115.706,29,104.26,191,99.007,67,16.6985,31
2017,Yale,68.2454,243,68.1558,181,106.163,116,106.17,141,103.44,170,105.159,184,1.01051,151
2017,"Youngstown St.",73.6162,28,71.6829,32,100.806,230,102.589,209,110.417,322,112.878,317,-10.2891,282
